descricao_alimento,kcal,carboidrato_g,proteina_g,lipideos_g,fibra_alimentar_g,base_por,fonte
"Pescada, filé, com farinha de trigo, frito",283.0,5.0,21.4,19.1,,100g,TACO
"Pescada, filé, cru",107.0,0.0,16.7,4.0,,100g,TACO
"Pescada, filé, frito",154.0,0.0,28.6,3.6,,100g,TACO
"Pescada, filé, molho escabeche",142.0,5.0,11.8,8.0,0.8,100g,TACO
"Pescadinha, crua",76.0,0.0,15.5,1.1,,100g,TACO
"Pintado, assado",192.0,0.0,36.5,4.0,,100g,TACO
"Pintado, cru",91.0,0.0,18.6,1.3,,100g,TACO
"Pintado, grelhado",152.0,0.0,30.8,2.3,,100g,TACO
"Porquinho, cru",93.0,0.0,20.5,0.6,,100g,TACO
"Salmão, filé, com pele, fresco, grelhado",229.0,0.0,23.9,14.0,,100g,TACO
"Salmão, sem pele, fresco, cru",170.0,0.0,19.3,9.7,,100g,TACO
"Salmão, sem pele, fresco, grelhado",243.0,0.0,26.1,14.5,,100g,TACO
"Sardinha, assada",164.0,0.0,32.2,3.0,,100g,TACO
"Sardinha, conserva em óleo",285.0,0.0,15.9,24.0,,100g,TACO
"Sardinha, frita",257.0,0.0,33.4,12.7,,100g,TACO
"Sardinha, inteira, crua",114.0,0.0,21.1,2.7,,100g,TACO
"Tucunaré, filé, congelado, cru 79, 9 88",88.0,0.0,18.0,1.2,,100g,TACO
Apresuntado,129.0,2.9,13.5,6.7,,100g,TACO
"Caldo de carne, tablete",241.0,15.1,7.8,16.6,0.6,100g,TACO
"Caldo de galinha, tablete",251.0,10.6,6.3,20.4,11.8,100g,TACO
"Carne, bovina, acém, moído, cozido",212.0,0.0,26.7,10.9,,100g,TACO
"Carne, bovina, acém, moído, cru",137.0,0.0,19.4,5.9,,100g,TACO
"Carne, bovina, acém, sem gordura, cozido",215.0,0.0,27.3,10.9,,100g,TACO
"Carne, bovina, acém, sem gordura, cru",144.0,0.0,20.8,6.1,,100g,TACO
"Carne, bovina, almôndegas, cruas",189.0,9.8,12.3,11.2,,100g,TACO
"Carne, bovina, almôndegas, fritas",272.0,14.3,18.2,15.8,,100g,TACO
"Carne, bovina, bucho, cozido",133.0,0.0,21.6,4.5,,100g,TACO
"Carne, bovina, bucho, cru",137.0,0.0,20.5,5.5,,100g,TACO
"Carne, bovina, capa de contra-filé, com gordura, crua",217.0,0.0,19.2,15.0,,100g,TACO
"Carne, bovina, capa de contra-filé, com gordura, grelhada",312.0,0.0,30.7,20.0,,100g,TACO
"Carne, bovina, capa de contra-filé, sem gordura, crua",131.0,0.0,21.5,4.3,,100g,TACO
"Carne, bovina, capa de contra-filé, sem gordura, grelhada",239.0,0.0,35.1,10.0,,100g,TACO
"Carne, bovina, charque, cozido",263.0,0.0,36.4,11.9,,100g,TACO
"Carne, bovina, charque, cru",249.0,0.0,22.7,16.8,,100g,TACO
"Carne, bovina, contra-filé, à milanesa",352.0,12.2,20.6,24.0,0.4,100g,TACO
"Carne, bovina, contra-filé de costela, cru",202.0,0.0,19.8,13.1,,100g,TACO
"Carne, bovina, contra-filé de costela, grelhado",275.0,0.0,29.9,16.3,,100g,TACO
"Carne, bovina, contra-filé, com gordura, cru",206.0,0.0,21.2,12.8,,100g,TACO
"Carne, bovina, contra-filé, com gordura, grelhado",278.0,0.0,32.4,15.5,,100g,TACO
"Carne, bovina, contra-filé, sem gordura, cru",157.0,0.0,24.0,6.0,,100g,TACO
"Carne, bovina, contra-filé, sem gordura, grelhado",194.0,0.0,35.9,4.5,,100g,TACO
